,Description,Classificació
2815,"TALL MACARENA OLONAPerò GrandeMarlaska, que ha anunciat que serà el general Pablo Salas qui substituirà Ceña, es defén.Afirma que la destitució de Pérez de los Cobos es deu a la ""reorganització d'equips"" i que no té res a vore amb el fet que el coronel no informara el Ministeri sobre l'atestat en què s’apuntava la possible responsabilitat de l’executiu per haver autoritzat les manifestacions del 8 de març quan ja es conexien els riscos del coronavirus. Un informe que havia demanat la jutgessa que investiga el cas:TALL MARLASKAPrecisament, la jutgessa ha avisat que hi podrien haver responsabilitats penals si es confirma que la destitució ha tingut relació amb este informe. També les associacions de la Guàrdia Civil alerten de la pèrdua d'independència del cos.  ",POLÍTICA
2816,"Les associacions de veïns advertixen de la situació ""terrorífica"" a què poden arribar els barris de les ciutats si es consolida una eixida de la crisi com la que es va donar el 2008: retallant l'Estat del Benestar. Advertixen que un terç de la població, especialment joves i majors de 50 anys,pot quedar exclosa de la recuperació.","ECONOMIA, COMERÇ I FINANCES"
2818,"Principi d'acord entre Ford i els sindicats en l'ERTO que afectarà 350 llocs de treball. L'han anunciat esta vesprada el comité d'empresa i la direcció de la planta. El president del comité, Carlos Faubel, el considera ""positiu"" perquè, assegura, l'empresa ha acceptat les seues demandes i, ha dit, ""cap acomiadament serà traumàtic"". Hi haurà prejubilacions voluntàries des dels 57 anys, i els majors de 60 anys podran acollirse també a la jubilació parcial amb contracte de relleu. Els sindicats estudien ara l'acord i, si tots l'aproven, el signaran dijous.PRINCIPI D'ACORD EN L'ERO DE FORD: 350 ACOMIADATS",TREBALL
2819,"Paraules que ixen del corLes diuen malalts de coronavirus que han superat la malaltia. Els seus testimonis estan recollits en esta campanya, ""Sigues prudent"", de la Generalitat.",MEDICINA I SANITAT
2820," Amb l'estiu a tocar i les vacances ja planificantse, hi ha dades que no ajuden Segons un estudi, no es pot garantir que l'augment de les temperatures limite la propagació del coronavirus. Considera que gran part de les investigacions que relacionen la calor i el descens de l'expansió del virus no tenen en compte factors com la densitat de població o la mobilitat.",MEDICINA I SANITAT
2821, Vla covid19 també amenaça l'amazònia,MEDICINA I SANITAT
2822,"El Sindicat Mèdic de la Comunitat Valenciana ha interposat hui una querella criminal contra la Consellera de Sanitat Universal, Ana Barceló i altres cinc alts càrrecs de la Conselleria.Els acusen de no haver dotat de material sanitari adequat el personal sanitari per combatre la pandèmia de la Covid19. El sindicat considera que els professionals treballaren durant setmanes sense protecció suficient: ni equips de protecció individual, ni màscares, ni ulleres, i que això suposa un delicte contra els drets dels treballadors i contra la Llei de prevenció de riscos laborals. Al nostre territori s'han contagiat amb el coronavirus quasi 4.900 professionals sanitaris, una xifra que, en termes relatius, és més alta que en cap altra comunitat autònoma.CESMCV DENUNCIA LA CONSELLERA DE SANITAT",MEDICINA I SANITAT
2823,"s una altra imatge icònica de la desescalada al món. Reobrin els dos llocs més sagrats del cristianisme.El primer és la basílica de la Nativitat de Betlem, a Palestina, el lloc on la tradició diu que va nàixer Jesús, que ha obert després de tres mesos tancada. L'accés es limita a 50 persones per torn, sense febra, i és obligatori portar mascareta. Les mateixes condicions establides per a accedir a la basílica del Sant Sepulcre, a Jerusalem. El lloc de sepultura de Jesús, va tornar a obrir diumenge, però hui era el primer dia que podia rebre visites.REOBRIN LA NATIVITAT DE BETLEM I EL SANT SEPULCRE",RELIGIÓ
2825,"Punt Mèdia iniciarà les emissions demà dimecres amb un crespó negre juntament al hashtag EnRecord, com a mostra de condol per les víctimes mortals del coronavirus. Les banderes de la Corporació Valenciana de Mitjans de Comunicació ja onegen a mig pal pels deu dies de dol oficial decretats pel govern espanyol. És el període de dol més llarg de la democràcia.LA CVMC S'UNIX AL DOL ESTATAL PER LA COVID19",MITJANS DE COMUNICACIÓ
2826,Marius Fullana parla de la posicio de l'Associacio Gonzalo Anaya sobre la postura del STEPV contraria a la reapertura de centres en la fase 2,ENSENYAMENT
2828," La pilota valenciana veu la llum. L'esport autòcton tornarà als trinquets el primer cap de setmana de juliol. En principi, el dissabte dia 4 es reprendran les lligues professionals d'escala i corda i raspall. Serà a porta tancada, tal com els avançà À Punt la setmana passada.",ESPORTS
2830,"Esta pandèmia ha arribat en un moment de gran tensió internacional. Açò que veuen són avions de combat de Veneçuela. Escorten un petrolier iranià que transporta cru a una refineria que hi ha a 100 quilòmetres de Caracas. És el segon vaixell dels 5 que espera rebre el govern de Nicolàs Maduro. Les aeronaus, per cert, són de fabricació russa. Una operació que confirma l'aliança entre tres països sancionats pels Estats Units, que va advertir contra l'arribada d'estos petroliers.ARRIBA A VENEÇUELA EL PRIMER PETROLIER IRANIÀ",ENERGIA
2832,"els menuts ha jugat més durant el confinament. I els pares i mares, que han estat més a prop, també han participat en les activitats lúdiques en família. Són algunes de les conclusions d’un estudi de l’Institut Tecnològic del Producte Infantil.El temps a l’abast de les famílies ha fomentat la compra de joguets:** talls compra joguetsI davant esta situació** Tall ,les veus expertes aconsellen** Tall expert .Són algunes de les conclusions de l’estudi de l’Institut Tecnològic del Producte Infantil en què han participat 650 famílies que agraïxen l'oportunitat de poder esplaiarse amb els més menuts sense mirar el rellotge.** Talls Pablo Busó, responsable de l’estudi diu que el joc és una ferramenta per poder participar conjuntament de l'expressió dels xiquets.A curt termini els xiquets jugaran més separats. Però este hàbit inicial donarà pas al contacte grupal perquè el joc infantil té implícit les habilitats socials ",SOCIETAT
2833, Els equips valencians de Tercera que han de jugar una promoció d'ascens no coincidixen amb qui és el responsable que es complisquen el protocols de seguretat. La Federació en l'última circular deixa esta tasca en mans dels clubs.,ESPORTS
2835,"I a partir de dilluns que ve podrien tornar a escola alguns alumnes seguint la proposta de la Conselleria d'Educació però el sindicat majoritari en educació, l'STEPV s'hi oposa. Assegura que les condicions de seguretat per a fer classes presencials en la fase 2 no estan garantides. De moment, el sindicat considera que cal centrar els esforços a elaborar un pla de xoc per al curs que ve.",ENSENYAMENT
2837,"Este confinament s'ha viscut de manera molt pareguda arreu del món, però sempre és més difícil per a aquells que estan lluny de casa. És el cas de l'entrenador valencià, Jovi Carrascosa, que dirigix un equip a Malàisia, on espera ara que es reprenga la lliga.",ESPORTS
2838,"Este estiu molts busquen la forma més segura d’anar de vacances i sembla que viatjar amb la casa darrere és una de les millors opcions. De fet, la covid19 ha disparat este estiu el lloguer d’autocaravanes.",TURISME
2839, La pandèmia ha capgirat el projecte de vacances de tots. Els proposem una opció per a este estiu. Convertirse en un 'setjetter'. Un turista que recorre els escenaris realson s'han gravat pel·lícules.Atenció perquè estos detalls 'extra' tan curiosos dels paquets vacacionals poden ser la clau per a reactivar les reserves durant este estiu tan complicat.,CINEMA
2841," Les noves dades de l'evolució de la pandèmia a Espanya són positives, continuen a la baixa.Hui s'han afegit 194 noves infeccions. En total hi ha 236.259 detectats per PCR. Després del ball de xifres en les defuncions pel canvi de criteris, esta vesprada el Ministeri de Sanitat ha confirmat que en els últims 7 dies s'han registrat 35 morts.",MEDICINA I SANITAT
2842, De les manifestacions del Dia de la Dona ha tornat a parlar hui Fernando Simón. El director del Centre d'Alertes i Emergències ha tornat a insistir que els actes del 8 de març no van tindre cap incidència en l'evolució dels contagis.,MEDICINA I SANITAT
2844,"La televisió d'À Punt els oferix esta nit una controvertida sèrie sobre la primera família nordamericana més coneguda del món: Els Kennedy.Esta nit a partir de les dotze menys quart.ambientLa familia Kennedy és el més paregut a una familia reial que han tingut a la república dels Estats Units d'Amèrica.ambientLa biografia de la nissaga dels Kennedy se centra en la dècada dels 60 i en l'elecció presidencial de John Fitzgerald Kennedy, interpretat per Greg KinnearambientEl repartiment inclou Katie Holmes en el paper de Jackie Kennedy.ambientTraïcions, revenges i ressentiments, els dimarts a les 23:45 de la nit . ",MITJANS DE COMUNICACIÓ
2847,"També tenen més risc de lesionarse els àrbitres, que treballen a contrarellotge per a estar físicament a punt qua es reprenga la competició. Ells també patiran la gran quantitat de partits en un període curt i amb una preparació escassa.ELS ÀRBITRES TAMBÉ ES POSEN A PUNT PER A TORNAR",ESPORTS
2848," La desescalada a poc a poc va arribant a tots els esports, encara que de vegades la normativa dona peu a diferents interpretacions. Això estava passant amb la pràctica del pàdel.Esta vesprada la Federació Espanyola ha aclarit la situació en un comunicat en què s'aclarix que ja es pot practicar el pàdel per parelles. També estan permeses les classes col·lectives amb un màxim de 10 alummnes, sempre que estiga garantida la distància mínima obligatòria.JUGAR A PÀDEL PER PARELLES ESTÀ PERMÉS",ESPORTS
2849,"En futbol comença a preocupar la gran quantitat de lesions que s'estan produint. Era un escenari que es podia donar pel confinament i la tornada ràpida a una exigència física alta. En la Lliga ja hi ha 10 futbolistes lesionats.""EN 11 JORNADES SE VA A DECIDIR PER D",ESPORTS
2851,"El compte arrere per a arribar a la fase següent també està en marxa per a sectors com el de les autoescoles o les acadèmies Fa 11 setmanes que tenen la persiana abaixada però, des de dilluns podrien tornar a arrancar.","ECONOMIA, COMERÇ I FINANCES"
2852,"Sí, és el país més afectat per la pandèmia amb molta diferència, amb quasi 100.000 víctimes mortals, però continua fent passos per a reobrir l'economia. I el procés de desescalada ens deixa esta imatgeLa borsa de Nova York reobria esta vesprada la sala d'operacions al carrer de Wall Street després de dos mesos de tancament. Durant este temps s'han fet les operacions de manera telemàtica. Al parquet hem vist pocs inversors, la veritat, peròels principals indicadors han recuperat nivells de l'inici de març. Diuen que per la reactivació econòmica i els avanços per a aconseguir una vacuna que seriaespecialmente necessària, ara mateix, al continent americà, amb 2,4 milions de casos confirmats.REOBRI LA BORSA DE NOVA YORK","ECONOMIA, COMERÇ I FINANCES"
2856,Les imatges il.lustren la entrevista sobre la querella criminal interposada pel sindicat medic CESM contra la consellera i cinc alts carrecs més de la Conselleria de Sanitat per no dotar adequadament de material sanitari els professionals durant la pandemia de Covid19,MEDICINA I SANITAT
2858,Imatges per il.lustrar la questio de que la pressio sobfre el rastreig de nous casos passa als centres d'atencio primaria,MEDICINA I SANITAT
2859,"I acabem els esports parlant de vela, perquè hui hem conegut que el Reial Club Nàutic de Valènciaha cancel·lat per primera vegada la seua regata més emblemàtica, el trofeu SM la Reina després d'estar 32 anys organitzant aquesta regata. La pandèmia obliga a traslladar la pròxima edició al juliol del 2021.UN 2020 SENSE EL TROFEU SM LA REINA DE VELA",ESPORTS
2860," Nou fitxatge en el València Basket de Rubén Burgos, l'ala lituana Laura Juskaite.Juskaite s'incorpora al conjunt taronja procedent de l'Enea Gorzow polonés. Amb només 22 anys és internacional i enguany ha fet una mitjana de 19,6 punts de valoració en l'Eurocup Women. Amb este fitxatge ja són set les jugadores confirmades per a la pròxima temporada. I esta vesprada s'ha fet oficial que l'entrenador campió de l'Eurolliga amb el Ros Casares, Roberto Íñiguez, dirigirà el Perfumerias Avenida de Salamanca la pròxima temporada.LAURA JUSKAITE, NOU FITXATGE DEL VALÈNCIA BASKET",ESPORTS
2862,La plantilla del València ha iniciat ja hui els entrenaments en grups de 14. Moltes mirades estaven posades en Rodrigo Moreno. El davanter diu que el seu futur està en el club blancinegre.,ESPORTS
2863,"Speech 100 persones, diu el BOE, podrà ser l'aforament màxim en l'exterior, i 50 en l'interior. Tall El sector de les bodes mou a Espanya 6.000 milions d'euros. Enguany preveuen unes pèrdues de 3.500 milions.Tall El 40 per cent de les parelles ha posposat la celebració, principalment pel fet de no poder convidar totes les amistats. Tall Milers de parelles valencianes s'han quedat amb les invitacions i els detallets a casa. I la data posposada 'sine die'.TallA Espanya se celebren 170.000 bodes a l'any. I en molts casos, la Covid ha condicionat els 'Sí que vull'.LÍMIT DE 50 PERSONES DINS I 100 EN EXTERIOR",SOCIETAT
2864,"ENTRADETA SEGURETAT Estos moviments a Europa, però encara no acaben de quallar en les reserves a la capital del turisme.el problema és que el mercat britànic encara està tancat",TURISME
2867," I acabem els esports amb unes imatges espectaculars de dos parapentistes russos, Posokhin i Nikulen,que han fet un espectacular vol acrobàtic fa pocs dies. La parella va pujar més de 2.300 metres amb 240 quilos de pes de l'ala, per a una volta arribats al pic Rosa de Sotxi, a Rússia, llançarse els dos junts. Un vol inusual en què els esportistes s'enlairaren nugats però, a mig vol, es deslligaren per a aterrar per separat.ESPECTACULAR VOL ACROBÀTIC",ESPORTS
2869,"Un altra notícia d'esta vesprada, el Llevant jugarà a l'estadi Camilo Cano de la Nucia el que queda de lliga, i mentre el Ciutat de València estiga en obres. Els granotes jugaran en un estadi que compta amb unes instal·lacions d'última generació. Ho ha comprovat esta vesprada el nostre company Jorge Sanchis.",ESPORTS
2870,"El samaruc, una espècie en perill d'extinció endèmica valenciana, amb una categoria de protecció tan alta com l'àguila imperial o el linx, ha trobat en l'Oceanogràfic una llar inesperada. Milers d'estos xicotets peixos han nascut al llac viu de l'Oceanogràfic, després que l'espai d'esta Albufereta quedà transformat en un àmbit natural amb flora i fauna locals. El passat mes de novembre van soltar mil peixos, que han trobat un hàbitat apropiat i lliure d'espècies invasores, cosa que ha facilitat que s'hagen multiplicat amb rapidesa. Un entorn que, a hores d'ara, atrau fins i tot aus visitants d'aiguamolls pròxims.MILERS DE SAMARUCS AL LLAC DE L'OCEANOGRÀFIC",MEDI AMBIENT
2872,". Primera parada, les terrasses. Vigilen l'aforament i la distància de seguretat.TOTAL PROPIETAEI JIJONENCAEn el recorregut cap al següent establiment han de cridar l'atenció a la gent 3 vegades. La infracció mes comuna: no és el seu horari.TOTAL POLICIA LOCAL PRINCIPITambé vigilen que dins dels locals estiguen totes les mesures d'higiene .TOTAL GERENT MARINA BEACH SI VOLS ",OBRES PÚBLIQUES I INFRAESTRUCTURES
2873," Les investigacions sobre el coronavirus es multipliquen, però també ho fan les informacions confuses que, ràpidament, s'escampen per les xarxes socials. Una d'elles fa referència a l'ús dels aires condicionats i la possible expansió de la malaltia. Dos societats científiques han volgut aclarir la qüestió. Afortunadament, l'aire condicionat no ajuda a contagiar la Covid19",MEDICINA I SANITAT
2875," A banda de la fase final de l'ACB, el València Basket treballa en la confecció d'un gran equip femení per a la pròxima temporada. Hiu hem pogut parlar amb l'entrenador Rubén Burgos, que ja sap quina exigència tindrà l'equip després de l'esforç que s'està fent en els fitxatges.",ESPORTS
2879,Però s'haurà de sacrificar la zona d'esplai si la morfologia de la platja no permet mantindre les tres** tallRentapeus i àrees de jocs quedaran precintats. I les platges ventoses seran les grans aliades contra la pandèmia.** tall sobre els beneficis de les zones ventosesTot i que Dénia està disposada a minimitzar el risc** es canviarà la informació del nivell de risc conforme afluència de gent per mitjà de cartelleriaDotze agents de sensibilització recorreran les platges de Dénia per a recordar als estiuejants els bons hàbits i evitar unes vacances medicalitzades. ,OBRES PÚBLIQUES I INFRAESTRUCTURES
2880,"És una ""Twittertó"", una marató de missatges per la xarxa de missatgeria, iniciada per una campanya internacional amb les etiquetes #RegularitzacióJa i #PapersForAll. Demanen la regularització extraordinària i sense condicions de totes les persones migrants i refugiades. Volen que totes les persones, vinguen d'on vinguen, tinguen els mateixos drets en un moment especialment difícil.MARATÓ DE #RegularitzacióJa i #PapersForAll",SOCIETAT
2881,"El pas a la fase 2 de la desescalada depén de si hem millorat els indicadors que assenyalava el Ministeri de Sanitat en l'última avaluació que va presentar fa menys de 15 dies. En aquell moment els tests PCR eren insuficients i es demanava vigilar l'evolució dels contagis a les zones que acumulaven més positius. El balanç diari de la pandèmia al territori valencià diu que anem pel bon camí. GRÀFIC EVOLUCIÓ Les altes als pacients amb coronavirus segueixen augmentant i durant la Fase 1 han crescut vora un 30%. En les últimes 24 hores s'han registrat 24 casos nous a tot el territori i una persona ha mort. Un balanç que podria facilitat l'accés a la fase 2 de la desescalda,TALL Barceló yo creo que son positivosGRÀFIC Però el Ministeri de Sanitat enviava un avís a la Comunitat Valenciana en l'última avaluació. Cal parar atenció a les zones que concentren més casos i assenyala directament els departaments de salut de la Plana, a Castelló, la Ribera, Sagunt i Hospital General, a València, i els quatre departaments d'AlacantElx. Dos setmanes després d'estar en la fase 1, estos departaments concentren la majoria dels més de 600 casos confirmats per PCR en este període, amb una mitjana de vora 70 positius per departament.GRÀFIC En el moment de l'entrada en la fase 1 preocupava el departament de la Riberaper un repunt de casos positius a partir de asimptomàtics i de personal sanitari. I el Departament de Salut de la Plana per la càrrega de pacients de coronavirus que hi havia al centre hospitalari, amb el 54% de llits amb malalts aguts i 16% d'ocupació de l'UCI per Covid. Però ara,TALL ENCARNA BARRAGÁN ""la presión asistencial en La Plana ha disminuido. Ahora 3 ingresados por covid, solo 1 en uci""GRÀFIC Fer PCR al 100% dels sospitosos va ser una reclamació del Ministeri de Sanitat a la Generalitat, qui ha confirmat que ara en fa al 78% dels mal",MEDICINA I SANITAT
2882,"s una de les qüestions de debat sobre la lluita contra el coronavirus.L'ús d'aplicacions per a localitzar contagiats afecta el dret a la privacitat de les persones?A França el Parlament ha aprovat l'ús d'una d'eixes aplicacions enmig d'una certa polèmica.A Qatar la utilització de l’aplicació és obligatòria sota pena de presó.Als Estats Units hi ha almenys 10 estats que estan llançant les seus pròpies aplicacions. De moment, el govern d'més aplicacions per a localitzar contagis",TRANSPORTS I COMUNICACIONS
2883,"Això és el més important, i el que més dividix els socis europeus, que ara han d'aprovar la proposta.Per primera vegada en la història, la Unió Europea s'endeuta de manera massiva i solidàriacompartint riscos  per a finançar la recuperació econòmica després de la pandèmia.A Espanya li pertocarien 140.000 milions entre ajudes directes i préstecs.","ECONOMIA, COMERÇ I FINANCES"
2884," I amb l'estiu a tocar, les reserves a destinacions segures es disparenUna de les opcions que més convencen són els càmpings. Els últims 15 dies les reserves han pujat un 70%. Els serveis que oferixen i els preus econòmics són els motius principals per a triar estos allotjaments.",SOCIETAT
2885,"I hui ha estat en À punt, l'expresident dell Valencia, Pedro Cortés. Amb ell hem repassat molts temes de l'actualitat valencianista com ara la complicada renovació de Ferran Torres o la venda del club a Peter Lim.TALLVA TIRALI MARTÍ Així és Pedro Cortés. Pròxim, clar i valencianista de socarel, per això no dubta que Ferran TALLFERRAN ÉS UN JUGADOR DE VERITAT I per això creu que""TENIEN QUE HAVERLO LLIGAT JA""` President i també un gran entés en el món del futbol, no dubta TALLDESITGE QUE EL FIRME EL VALÈNCIA I una cosa més a favor TALLFERRAN T'HO DONA TOT perquè és de la casa I un consell al xicon I JA TINDRÀ TEMPS D'ANARSE'N ON SIGA Al contrari que de l'altra perla del planter KANG IN LEE ESTÀ PER A CEDIRLO JA I recorda el cas de David SilvaI FIXA'T EL QUE VA ARRIBAR A FER SILVA Amb 72 anys al llom, al president del canvi de segle, este València de Meriton li fa mal TALL L'EGO I LA VANITAT ÉS MOLT GRAN I és que, amb 25 anys en la FederacióTALL CORTES MAI M'HA TOCAT EL VALÈNCIA PER A DIR : HI HA ESTE PROBLEMA. TÚ PODRIES ESPENTAR PER ACI?Li hauria agradat, almenys, tirar cap a casaTALL DONAR LA LLANDA SÍ QUE PUC FER en la Federació amb els temes de fricció d'un València molt diferent del que va deixar el 2001, just després de traspassar Mendieta TALLES COM EL MEU FILL ERA LA RATA PENADA de l'escut, i per això el va vendre a la Lazio, pegà portada i deixà pas a Jaume Ortí TALLBONICO, COM DIU L'AFICIÓ, ERA AMIC DE TOTSS'emociona recordantlo.I no és estrany Van ser els presidents de 2 finals de Champions i 6 títolsL'EXPRESIDENT PEDRO CORTÉS, EN À PUNT",ESPORTS
2886,"Els artistes de la falla municipal de València d'enguany presentaran el mateix projecte per a l'any que ve . José Ramón Espuig, Manolo Martin i el muralista Escif volen plantar en el 2021 la mateixa falla amb el lema ""Això també passarà"". Els artistes infantils d'enguany, Ceballos i Sanabria, també han anunciat que es presentaran amb un nou projecte i proposen que la falla d'enguany, amb el lema ""Saps qui soc?"", es creme en un altra data especial.ELS ARTISTES DE LA FALLA MUNICIPAL D'ENGUANY VOLEN EL MATEIX MONUMENT PER AL 2021",FESTES I TRADICIONS
2887,Són els moments previs a la missió espacial conjunta de Space X i la Nasa que enviarà a l'Estació Espacial Internacional dos astronautes en una prova batejada com Dem2. L'objectiu de la missió és desenvolupar sistemes de transport a l'espai.RÈTOL: PRIMER COET TRIPULAT PRIVAT,CIÈNCIA I INVESTIGACIÓ
2888,"La drogoaddicció és una de les malalties que s'han vist més perjudicades per la crisi de la Covid19. L'assistència a estes persones vulnerables s'ha paralitzat durant el pic de la pandèmia. Per això, des de la Unitat de Desintoxicació de l'Hospital Arnau de Vilanova sol·liciten urgentment que es reprenga.",MEDICINA I SANITAT
2889,"Les societats musicals van tornant a poc a poc a la normalitat. És el cas de la Banda Simfònica de la Unió Musical de Llíria, que ha représ els assajos col·lectius de manera presencial. Amb grups de 10 com a màxim i separats per una distància de 3 metres, la música torna a sonar en esta localitat del Camp de Túria.",MÚSICA
2890,"Els orxaters artesans s'han hagut de reinventar per fer front a la situació excepcional en què ens trobem.Els tradicionals carros d'orxata s'han quedat aparcats estos mesos i les orxateries també han estat tancades. La solució: posar en marxa la venda en línia perquè la gent puga disfrutar de l'orxata des de casa.A través del web fan la comanda, i a l'hora de berenar ja la tenen a casa. De moment repartixen a València i a 20 pobles de l'àrea metropolitana, com Godella, Paiporta o Meliana. Però volen ampliar el repartiment, perquè ningú es quede sense orxata.","ECONOMIA, COMERÇ I FINANCES"
2891," L'Ajuntament de Sogorb ha anunciat en un comunicat la suspensió de les Entrades de Bous i Cavallsa conseqüència de la situació sanitària. El consistori de la capital de l'Alt Palància ho ha acordat amb tots els representants del món de la festa. D'esta manera també se suspén el concurs de ramaderies i tots els actes de la setmana taurina. Segons com evolucione la pandèmia, l'Ajuntament treballarà en activitats alternatives per a aquella setmana.SUSPESES LES ENTRADES DE BOUS I CAVALLS DE SOGORB",FESTES I TRADICIONS
2892,"I més enllà del coronavirus, el president dels Estats Units amenaça de tancar les xarxes socials.I tot perquè Twittter ha avisat per primera vegada als seus usuaris que un missatge escrit per Trump era una informacó dubtosa. El missatge en qüestió es referia al vot per correu. Trump, que té 80 milions de seguidors, ha contestat que la xarxa social estava reprimint la llibertat d’expressió i ha amenaçat de tancar totes les xarxes socials.trump amenaça de tancar les xarxes socials",TRANSPORTS I COMUNICACIONS
2894,"La compareixença diària de Fernando Simón deixa hui 2 titulars destacats. Un és una advertència: una festa com la de Lleida, en què es contagiaren els 20 participants, pot causar una altra epidèmia a Espanya. El segon, el reconeiximent que els registres civils trauen a la llum 12 mil morts més que no estaven comptabilitzats, però que per a Simón no es poden atribuir directament al coronavirus.Els registres trauen a la llum 12.000 morts",MEDICINA I SANITAT
2897," I la Federació Espanyola de Futbol permetrà jugar els dilluns i els divendres en el moment en què es reprenga la temporada.I això que el jutge Sánchez Magro ha desestimat hui la demanda de la Lliga, en què es demanava habilitar eixos dies sense compensació econòmica afegida. Luis Rubiales, no obstant això, ha preferit negociar el calendari de bona fe i estendre la mà a Javier Tebas, oferintli la possibilitat de disputar partits els dilluns i els divendres des de la represa de la competició fins a acabar esta temporada, i sense sol·licitar res a canvi.LA FEDERACIÓ PERMETRÀ JUGAR DILLUNS I DIVENDRES",ESPORTS
2898," El Ministeri d'Universitats i les comunitats autònomes han acordat esta vesprada posar un límit màxim al preu dels crèdits. Per tant, el curs que ve no es podran apujar i se situaran en els nivells del curs 2011/2012.A més, es rebaixarà el preu de les primeres matrícules per a ajudar les famílies a superar la crisi posterior a la Covid19. El màxim del crèdit serà, segons ha proposat el ministre, de 18,46 euros. La consellera d'Universitats, Carolina Pasqual, ha votat a favor d'esta mesura, però ha recordat al govern central l'infrafinançament que pateix la Comunitat Valenciana i li demana un esforç.La consellera també ha dit que la comunitat ja ha abaixat les taxes un 15 per cent des del 2017.ACORDEN ABAIXAR LES TAXES UNIVERSITÀRIES",ENSENYAMENT
2902,"  Platges segures sí, però d'entrada amb un aforament limitat.TALL. Colomer. Descontracturar va a ser una pauta de recomanació fonamental.Quants banyistes caben en una platja? Sanitat diu que un cada 4 metres quadrats. Descomptant, això sí, 6 metres a la vora de la mar. Turisme Comunitat Valenciana deixa el càlcul en mans localsTALL. Colomer. Ningú coneix millor que un ajuntament les seues platgesi planteja esta fórmula matèmatica. La quantitat de banyistes estarà condicionada no només per l'extensió de platja sinó també pel risc sanitari o de contagi almunicipi, el comportament social o de prevenció de la població i la capacitat de control que hi haja per a regular l'accés. Com més positius siguen estos indicadors, l'aforament serà més elevat.Posem per cas una platja de 10.000 metres quadrats on caben 10.000 banyistes, situada en un municipi amb risc alt de contagi, coeficient de 0,5, segons la guia amb veïns i veïnes exemplars, 1 punt i on l'Ajuntament pot desallotjarla de manera eficaç, 0,80. L'aforament seria de 4,000 persones.TALL. Colomer. Hi ha que evitar la parcelació en base a barreres físiques, mampares perquè desvirtua l'experiència gratificament a la platja.En temps de coronavirus, l'experiència s'adequarà per tal de mantindre la distància de seguretat: per a accedir, dos metres entre els carrils d'entrada i eixida i, per a plantar el parasol, almenys a 10 metres de la vora i altres 10 de la zona de serveis. També es recomana tancar les infraestuctures esportives i parcs infantils. I allò de passar tota l",SOCIETAT
2906,On també la normalitat torna a poc a poc és als restaurants amb estreles Michelin Lola Oliver està amb el xef d'un d'eixos grans temples gastronòmics del nostre territori amb Ricard CamarenaREOBRI EL RICARD CAMARENA RESTAURANT,GASTRONOMIA
2907, La desescalada també ha començat en la culturaLa Banda Simfònica de la Unió Musical de Llíria torna als assajos presencials. Ho han fet sota estrictes protocols de seguretat com ara establir una àmplia distància entre els músics. També se'ls pren la temperatura abans de començar i han de desinfectarse les soles de les sabates.RÈTOL: LA SIMFÒNICA DE LLÍRIA TORNA A ASSAJAR,MÚSICA
2908," TALL IVÁN GARCIA. El médico me dijo, ven corriendo al hospital.TALL MARIA mi abuelo1.418 morts a la Comunitat Valenciana i amb ells, famílies per a les qui cada número reflectix la cara dels éssers volguts que ja no tornaran. ",SOCIETAT
2909,"Hui la imatge del dia en els camps d'entrenament de futbol ha tornat a ser el minut de silencique s'ha guardat en memòria de les víctimes de la Covid19. A Paterna, els instegrants del València han fet un rogle per a guardar un respectuós minut de silenci, com també ha fet el Villarreal a la ciutat esportiva. Ahir, primer dia de dol oficial, els dos equips tenien descans, i hui s'han volgut sumar a este homenatge.MINUT DE SILENCI PER LES VÍCTIMES DE LA COVID19",ESPORTS
2910,"I després de l'enfrontament ahir al Congrés entre Pablo Iglesias i la portaveu del PP, Cayetana Álvarez de Toledo, hui el vicepresident segon del govern espanyol ha tingut una altra picabaralla. Esta vegada amb el diputat de Vox Iván Espinosa de los Monteros en la comissió de reconstrucció.",POLÍTICA
2911,"I ja és oficial: la Premier League tornarà el 17 de juny.Els clubs que pertanyen a la primera divisió del futbol anglés han acordat fixar eixa data per a reprendre les nou jornades que encara queden per disputar. El baló tornarà a rodar el dimecres dia 17 amb dos partits, l'Aston VillaSheffield United i el Manchester CityArsenal. També s'ha fet oficial fa unes hores que la Sèrie A italiana tornarà el 20 de juny.LA PREMIER, EL 17 DE JUNY, I LA SERIE A, EL 20",ESPORTS
2912,"Ambient psicòloga: Está jugando a las apuestas y empezó siendo menor de edad? Segons la Direcció General d'Ordenació del Joc vora un 36% dels nous ludòpates sinicien sent menors d'edat.TALLFa dos anys que Rafa va aconseguir eixir de la roda del joc. Un hàbit que a Espanya té un component social i que cada vegada s'associa més a l'esport.PSICÓLOGAUn problema que continua creixent, però del qual es pot eixir. Jesús fa 14 anys que es va recuperar.TALL jesúsCoincideixen en la necessitat de posar també fre al joc online dels menors d'edat.RAFA:Rafa ha aconseguit més de 92.000 signatures en change.org per a impulsar una llei del joc espanyola que seguisca els passos marcats per la normativa valenciana. ",SOCIETAT
2913,"I no deixem els Estats Units perquè a Minneapolis, segon dia de protestes per la mort d’un home d'origen afroamericà, en un altre cas d'abusos policials.l",JUSTÍCIA I ORDRE  PÚBLIC
