ESPORTS% 95653
JUSTÍCIA I ORDRE  PÚBLIC% 39042
POLÍTICA% 30031
SOCIETAT% 23588
ACCIDENTS I CATÀSTROFES% 21180
FESTES I TRADICIONS% 13458
MEDICINA I SANITAT% 12099
ECONOMIA, COMERÇ I FINANCES% 12040
AGRICULTURA, RAMADERIA I PESCA% 8209
MEDI AMBIENT% 8067
FENÒMENS NATURALS% 8061
TRANSPORTS I COMUNICACIONS% 7762
TERRORISME% 6091
CONFLICTES ARMATS% 5946
CULTURA% 4684
MÚSICA% 4330
URBANISME I HABITATGE% 4092
TURISME% 4005
CINEMA% 3838
OBRES PÚBLIQUES I INFRAESTRUCTURES% 3817
TREBALL% 3776
ARTS% 3458
ENSENYAMENT% 3191
CIÈNCIA I INVESTIGACIÓ% 2981
RELIGIÓ% 2929
RELACIONS INTERNACIONALS% 2859
ESPECTACLES% 2396
MITJANS DE COMUNICACIÓ% 2018
INDÚSTRIA% 1939
ENERGIA% 1345
DEFENSA% 1225
GASTRONOMIA% 1013
LITERATURA% 613
HISTÒRIA% 605
ESPORTS | ESPORTS% 447
RELACIONS INTERNACIONALS | RELACIONS INTERNACIONALS | DEFENSA% 1
JUSTÍCIA I ORDRE  PÚBLIC | CONFLICTES ARMATS | SOCIETAT% 1
ACCIDENTS I CATÀSTROFES | MEDICINA I SANITAT | JUSTÍCIA I ORDRE  PÚBLIC% 1
ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC | SOCIETAT | POLÍTICA% 1
ENERGIA | TREBALL | AGRICULTURA, RAMADERIA I PESCA% 1
POLÍTICA | RELACIONS INTERNACIONALS | JUSTÍCIA I ORDRE  PÚBLIC% 1
ACTUALITAT ROSA | SOCIETAT% 1
URBANISME I HABITATGE | TURISME | ARTS% 1
JUSTÍCIA I ORDRE  PÚBLIC | ECONOMIA, COMERÇ I FINANCES | POLÍTICA% 1
ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC | SOCIETAT% 1
MEDICINA I SANITAT | POLÍTICA | TURISME% 1
AGRICULTURA, RAMADERIA I PESCA | ECONOMIA, COMERÇ I FINANCES | RELACIONS INTERNACIONALS% 1
RECURSOS TERRITORIALS | MEDI AMBIENT | SOCIETAT% 1
CULTURA | CONFLICTES ARMATS% 1
TERRORISME | RELACIONS INTERNACIONALS | JUSTÍCIA I ORDRE  PÚBLIC% 1
ACCIDENTS I CATÀSTROFES | MEDI AMBIENT | JUSTÍCIA I ORDRE  PÚBLIC% 1
ECONOMIA, COMERÇ I FINANCES | URBANISME I HABITATGE | SOCIETAT% 1
JUSTÍCIA I ORDRE  PÚBLIC | SOCIETAT | POLÍTICA% 1
ACCIDENTS I CATÀSTROFES | MEDI AMBIENT | FENÒMENS NATURALS% 1
FESTES I TRADICIONS | SOCIETAT | MÚSICA% 1
CULTURA | URBANISME I HABITATGE | ECONOMIA, COMERÇ I FINANCES% 1
FESTES I TRADICIONS | SOCIETAT | ECONOMIA, COMERÇ I FINANCES% 1
INDÚSTRIA | ESPORTS% 1
CONFLICTES ARMATS | SOCIETAT | HISTÒRIA% 1
JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA | RELACIONS INTERNACIONALS% 1
RECURSOS TERRITORIALS | CULTURA | POLÍTICA% 1
AGRICULTURA, RAMADERIA I PESCA | GASTRONOMIA | ECONOMIA, COMERÇ I FINANCES% 1
TRANSPORTS I COMUNICACIONS | TREBALL | TURISME | ECONOMIA, COMERÇ I FINANCES% 1
ENERGIA | TURISME% 1
SOCIETAT | SOCIETAT% 1
TERRORISME | RELACIONS INTERNACIONALS | MEDI AMBIENT% 1
FENÒMENS NATURALS | MEDI AMBIENT | SOCIETAT% 1
MEDICINA I SANITAT | CIÈNCIA I INVESTIGACIÓ | SOCIETAT% 1
SOCIETAT | MEDICINA I SANITAT | ESPORTS% 1
RELACIONS INTERNACIONALS | RELACIONS INTERNACIONALS | ENERGIA% 1
ECONOMIA, COMERÇ I FINANCES | POLÍTICA | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
CULTURA | ECONOMIA, COMERÇ I FINANCES | HISTÒRIA% 1
ECONOMIA, COMERÇ I FINANCES | POLÍTICA | DEFENSA% 1
JUSTÍCIA I ORDRE  PÚBLIC | HISTÒRIA | URBANISME I HABITATGE% 1
ESPECTACLES | POLÍTICA | ECONOMIA, COMERÇ I FINANCES% 1
TRANSPORTS I COMUNICACIONS | POLÍTICA | FESTES I TRADICIONS% 1
TRANSPORTS I COMUNICACIONS | TREBALL | POLÍTICA% 1
TRANSPORTS I COMUNICACIONS | ECONOMIA, COMERÇ I FINANCES | POLÍTICA% 1
HISTÒRIA | INDÚSTRIA% 1
TREBALL | JUSTÍCIA I ORDRE  PÚBLIC | TRANSPORTS I COMUNICACIONS% 1
ECONOMIA, COMERÇ I FINANCES | FESTES I TRADICIONS | ESPECTACLES% 1
HISTÒRIA | MEDICINA I SANITAT% 1
TURISME | ECONOMIA, COMERÇ I FINANCES | FESTES I TRADICIONS% 1
FESTES I TRADICIONS | TURISME | ECONOMIA, COMERÇ I FINANCES% 1
INDÚSTRIA | INDÚSTRIA% 1
ARTS | FESTES I TRADICIONS% 1
INDÚSTRIA | RELACIONS INTERNACIONALS | ECONOMIA, COMERÇ I FINANCES% 1
FENÒMENS NATURALS | MITJANS DE COMUNICACIÓ | ARTS% 1
TRANSPORTS I COMUNICACIONS | TURISME | FENÒMENS NATURALS% 1
ECONOMIA, COMERÇ I FINANCES | POLÍTICA | MEDICINA I SANITAT% 1
POLÍTICA | ENSENYAMENT | TREBALL% 1
ARTS | ECONOMIA, COMERÇ I FINANCES | TRANSPORTS I COMUNICACIONS% 1
TURISME | OBRES PÚBLIQUES I INFRAESTRUCTURES | ECONOMIA, COMERÇ I FINANCES% 1
ECONOMIA, COMERÇ I FINANCES | ENERGIA | RELACIONS INTERNACIONALS% 1
DEFENSA | CONFLICTES ARMATS | TERRORISME | POLÍTICA% 1
DEFENSA | ENERGIA | POLÍTICA% 1
RECURSOS TERRITORIALS | TURISME | SOCIETAT% 1
ENSENYAMENT | TAUROMÀQUIA% 1
RECURSOS TERRITORIALS | ARTS | RELIGIÓ% 1
ENSENYAMENT | HISTÒRIA% 1
TURISME | INDÚSTRIA% 1
POLÍTICA | ECONOMIA, COMERÇ I FINANCES | INDÚSTRIA% 1
INDÚSTRIA | JUSTÍCIA I ORDRE  PÚBLIC | POLÍTICA% 1
CULTURA | SOCIETAT | MEDI AMBIENT% 1
JUSTÍCIA I ORDRE  PÚBLIC | TREBALL | POLÍTICA% 1
POLÍTICA | OBRES PÚBLIQUES I INFRAESTRUCTURES | CULTURA% 1
ECONOMIA, COMERÇ I FINANCES | POLÍTICA | MEDI AMBIENT% 1
RECURSOS TERRITORIALS | TURISME | CULTURA | ECONOMIA, COMERÇ I FINANCES% 1
POLÍTICA | RELACIONS INTERNACIONALS | SOCIETAT% 1
ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC | ENERGIA% 1
POLÍTICA | MEDICINA I SANITAT | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
ECONOMIA, COMERÇ I FINANCES | INDÚSTRIA | AGRICULTURA, RAMADERIA I PESCA% 1
JUSTÍCIA I ORDRE  PÚBLIC | ESPORTS | CIÈNCIA I INVESTIGACIÓ% 1
RELIGIÓ | FENÒMENS NATURALS% 1
ESPORTS | TURISME | ECONOMIA, COMERÇ I FINANCES% 1
URBANISME I HABITATGE | OBRES PÚBLIQUES I INFRAESTRUCTURES | MEDI AMBIENT% 1
ACCIDENTS I CATÀSTROFES | ENERGIA | POLÍTICA% 1
TREBALL | ENSENYAMENT | MEDICINA I SANITAT% 1
MÚSICA | ACCIDENTS I CATÀSTROFES% 1
CULTURA | HISTÒRIA | AGRICULTURA, RAMADERIA I PESCA% 1
JUSTÍCIA I ORDRE  PÚBLIC | RELIGIÓ | RELACIONS INTERNACIONALS% 1
CULTURA | POLÍTICA | TURISME% 1
URBANISME I HABITATGE | ENSENYAMENT% 1
ENERGIA | POLÍTICA | MEDI AMBIENT% 1
FENÒMENS NATURALS | ACCIDENTS I CATÀSTROFES | SOCIETAT% 1
ECONOMIA, COMERÇ I FINANCES | ACCIDENTS I CATÀSTROFES | FENÒMENS NATURALS% 1
POLÍTICA | CULTURA | CIÈNCIA I INVESTIGACIÓ% 1
TRANSPORTS I COMUNICACIONS | TRANSPORTS I COMUNICACIONS | TRANSPORTS I COMUNICACIONS% 1
MITJANS DE COMUNICACIÓ | ESPECTACLES% 1
JUSTÍCIA I ORDRE  PÚBLIC | LITERATURA% 1
MITJANS DE COMUNICACIÓ | RELIGIÓ% 1
ECONOMIA, COMERÇ I FINANCES | RELIGIÓ% 1
URBANISME I HABITATGE | FESTES I TRADICIONS% 1
JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES | TERRORISME% 1
ESPECTACLES | TERRORISME% 1
MEDI AMBIENT | ECONOMIA, COMERÇ I FINANCES | AGRICULTURA, RAMADERIA I PESCA% 1
LITERATURA | RELACIONS INTERNACIONALS% 1
CONFLICTES ARMATS | ACCIDENTS I CATÀSTROFES | POLÍTICA% 1
RECURSOS TERRITORIALS | CULTURA% 1
CINEMA | JUSTÍCIA I ORDRE  PÚBLIC | SOCIETAT% 1
RELIGIÓ | POLÍTICA | FENÒMENS NATURALS | SOCIETAT% 1
CINEMA | FENÒMENS NATURALS% 1
POLÍTICA | ACCIDENTS I CATÀSTROFES | TERRORISME% 1
ACCIDENTS I CATÀSTROFES | CONFLICTES ARMATS | CIÈNCIA I INVESTIGACIÓ% 1
CINEMA | RELIGIÓ% 1
TRANSPORTS I COMUNICACIONS | CULTURA% 1
AGRICULTURA, RAMADERIA I PESCA | URBANISME I HABITATGE% 1
RELIGIÓ | TERRORISME% 1
ENSENYAMENT | DEFENSA% 1
SOCIETAT | MEDICINA I SANITAT | RELIGIÓ% 1
ARTS | CINEMA% 1
TURISME | ENERGIA% 1
ACCIDENTS I CATÀSTROFES | TREBALL | JUSTÍCIA I ORDRE  PÚBLIC% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | FESTES I TRADICIONS% 1
CULTURA | FENÒMENS NATURALS% 1
CINEMA | TERRORISME% 1
ECONOMIA, COMERÇ I FINANCES | URBANISME I HABITATGE | JUSTÍCIA I ORDRE  PÚBLIC% 1
CINEMA | CIÈNCIA I INVESTIGACIÓ% 1
JUSTÍCIA I ORDRE  PÚBLIC | ENSENYAMENT | SOCIETAT% 1
RELACIONS INTERNACIONALS | FENÒMENS NATURALS% 1
POLÍTICA | ECONOMIA, COMERÇ I FINANCES | ESPORTS | AGRICULTURA, RAMADERIA I PESCA% 1
TERRORISME | JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES% 1
MEDICINA I SANITAT | TERRORISME | FENÒMENS NATURALS% 1
RELIGIÓ | HISTÒRIA% 1
ACCIDENTS I CATÀSTROFES | ENERGIA | ESPORTS% 1
ECONOMIA, COMERÇ I FINANCES | TRANSPORTS I COMUNICACIONS | AGRICULTURA, RAMADERIA I PESCA% 1
JUSTÍCIA I ORDRE  PÚBLIC | TURISME | TRANSPORTS I COMUNICACIONS% 1
CIÈNCIA I INVESTIGACIÓ | SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC% 1
OBRES PÚBLIQUES I INFRAESTRUCTURES | POLÍTICA | MEDI AMBIENT | JUSTÍCIA I ORDRE  PÚBLIC% 1
JUSTÍCIA I ORDRE  PÚBLIC | TURISME | SOCIETAT% 1
SOCIETAT | ACCIDENTS I CATÀSTROFES | MEDICINA I SANITAT% 1
JUSTÍCIA I ORDRE  PÚBLIC | FESTES I TRADICIONS | ACCIDENTS I CATÀSTROFES% 1
TERRORISME | ACCIDENTS I CATÀSTROFES | MEDICINA I SANITAT% 1
AGRICULTURA, RAMADERIA I PESCA | MEDI AMBIENT | FESTES I TRADICIONS | JUSTÍCIA I ORDRE  PÚBLIC% 1
CIÈNCIA I INVESTIGACIÓ | RELIGIÓ | FESTES I TRADICIONS% 1
JUSTÍCIA I ORDRE  PÚBLIC | ACTUALITAT ROSA% 1
HISTÒRIA | ENSENYAMENT% 1
MEDI AMBIENT | AGRICULTURA, RAMADERIA I PESCA | SOCIETAT% 1
MEDICINA I SANITAT | GASTRONOMIA | ECONOMIA, COMERÇ I FINANCES% 1
SOCIETAT | TURISME | FESTES I TRADICIONS% 1
ENSENYAMENT | GASTRONOMIA% 1
JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES | TURISME% 1
ENSENYAMENT | ACCIDENTS I CATÀSTROFES | ECONOMIA, COMERÇ I FINANCES% 1
FENÒMENS NATURALS | RELACIONS INTERNACIONALS% 1
RELIGIÓ | SOCIETAT | ACCIDENTS I CATÀSTROFES% 1
TURISME | JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES% 1
URBANISME I HABITATGE | SOCIETAT | TRANSPORTS I COMUNICACIONS% 1
JUSTÍCIA I ORDRE  PÚBLIC | TERRORISME | ENSENYAMENT% 1
FESTES I TRADICIONS | MITJANS DE COMUNICACIÓ | CINEMA% 1
MÚSICA | HISTÒRIA% 1
SOCIETAT | HISTÒRIA | JUSTÍCIA I ORDRE  PÚBLIC% 1
ACCIDENTS I CATÀSTROFES | TRANSPORTS I COMUNICACIONS | GASTRONOMIA% 1
ENERGIA | URBANISME I HABITATGE | JUSTÍCIA I ORDRE  PÚBLIC% 1
CIÈNCIA I INVESTIGACIÓ | JUSTÍCIA I ORDRE  PÚBLIC | MITJANS DE COMUNICACIÓ% 1
POLÍTICA | ACCIDENTS I CATÀSTROFES | JUSTÍCIA I ORDRE  PÚBLIC | AGRICULTURA, RAMADERIA I PESCA% 1
FENÒMENS NATURALS | JUSTÍCIA I ORDRE  PÚBLIC | MEDI AMBIENT% 1
POLÍTICA | TERRORISME | ACCIDENTS I CATÀSTROFES% 1
HISTÒRIA | TRANSPORTS I COMUNICACIONS% 1
JUSTÍCIA I ORDRE  PÚBLIC | URBANISME I HABITATGE | ENERGIA% 1
JUSTÍCIA I ORDRE  PÚBLIC | ENSENYAMENT | AGRICULTURA, RAMADERIA I PESCA | ECONOMIA, COMERÇ I FINANCES% 1
ACCIDENTS I CATÀSTROFES | POLÍTICA | ECONOMIA, COMERÇ I FINANCES% 1
MEDI AMBIENT | CONFLICTES ARMATS | HISTÒRIA% 1
ARTS | URBANISME I HABITATGE% 1
ESPORTS | POLÍTICA | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
TURISME | GASTRONOMIA% 1
HISTÒRIA | CONFLICTES ARMATS% 1
ACCIDENTS I CATÀSTROFES | ENERGIA | MEDI AMBIENT% 1
FESTES I TRADICIONS | TERRORISME% 1
TURISME | URBANISME I HABITATGE | ENERGIA% 1
ECONOMIA, COMERÇ I FINANCES | TREBALL | URBANISME I HABITATGE% 1
ECONOMIA, COMERÇ I FINANCES | MITJANS DE COMUNICACIÓ | ESPORTS% 1
CULTURA | ARTS | FESTES I TRADICIONS | MEDI AMBIENT% 1
FESTES I TRADICIONS | SOCIETAT | POLÍTICA% 1
CONFLICTES ARMATS | RELACIONS INTERNACIONALS | TERRORISME% 1
ECONOMIA, COMERÇ I FINANCES | RELACIONS INTERNACIONALS | POLÍTICA | MITJANS DE COMUNICACIÓ% 1
SOCIETAT | ENSENYAMENT | TREBALL% 1
DEFENSA | RELIGIÓ | JUSTÍCIA I ORDRE  PÚBLIC% 1
TRANSPORTS I COMUNICACIONS | ACCIDENTS I CATÀSTROFES | FESTES I TRADICIONS% 1
ENERGIA | MEDICINA I SANITAT% 1
HISTÒRIA | INDÚSTRIA | ESPORTS% 1
RELACIONS INTERNACIONALS | OBRES PÚBLIQUES I INFRAESTRUCTURES% 1
TURISME | TERRORISME% 1
